Date,Price,Open,High,Low,Vol,Growth,AVBLS,CPTRA,HRATE,MIREV,MWNTD,MWNUS,MWTRV,TOTBC,Btc_Mined,TRFEE,TRVOU
2021-03-05,48792.5,48363.6,49429.4,46370.1,113640.0,0.0075,1.323912208053692,156.7624898182514,160906977.89941573,49815984.01444393,104490.0,69083665.0,47307.31125819958,18645812.5,875.0,114.36391387,781773549.7164001
2021-03-04,48428.0,50388.0,51757.7,47521.8,9560.0,-0.039,1.2875538515624998,155.97338601436718,138228813.22902828,45722350.32302363,104090.0,69019122.0,29607.713763879925,18644718.75,1093.75,112.95743016999997,806146031.418
2021-03-03,50395.1,48422.2,52567.9,48159.2,44930.0,0.0407,1.301007401315789,164.49985781357555,164146715.7094711,55147754.83271214,117708.0,68970270.0,27362.465268449683,18644056.25,662.5,132.69783596999994,645712708.9319999
2021-03-02,48424.2,49595.6,50191.9,47100.6,102100.0,-0.0236,1.3094418531468526,147.46444525055134,154427502.27930507,50567917.70753806,114796.0,68899857.0,39096.93700973044,18642956.25,1100.0,132.76436336000006,967845187.1568
2021-03-01,49595.5,45160.5,49774.0,45008.8,137520.0,0.0981,1.3479327307692308,158.70276164293531,140388638.43573186,44513744.09941872,104005.0,68845871.0,19605.180078570243,18642075.0,881.25,121.83630841000006,724061272.7104
2021-02-28,45164.0,46136.0,46582.0,43100.6,135080.0,-0.021099999999999997,1.3644879694656489,158.84194732538177,141468551.03908366,40396048.67600178,79450.0,68764103.0,12734.131200869831,18641418.75,656.25,82.99643575,399909227.5584
2021-02-27,46136.7,46333.1,48335.1,45059.4,98750.0,-0.0045000000000000005,1.2918701656050957,159.44811974983116,169546278.72623003,51148405.64582984,99323.0,68696757.0,16114.222957269963,18640543.75,875.0,104.30956316000002,1077018778.2680998
2021-02-26,46345.6,46928.5,48413.9,44248.2,189410.0,-0.0124,1.2936843309352513,154.67581261201113,150107851.8658979,47395143.79732201,101865.0,68582382.0,15771.154374210171,18639450.0,1093.75,148.87842397,915917915.7024
2021-02-25,46928.5,49695.9,52013.8,46773.7,83220.0,-0.0557,1.3010018846153848,173.9974240707445,168466366.12287825,57792548.4154015,108749.0,68506021.0,51564.94269542946,18638568.75,881.25,152.52733295999994,1058762335.0276
2021-02-24,49697.5,48911.1,51311.8,47031.7,153750.0,0.0161,1.3099372327044028,164.35141978193315,171706103.93293357,59746178.57906681,102302.0,68418500.0,43242.787522179984,18637687.5,881.25,189.53161494000003,2125994179.9211
2021-02-23,48911.2,54114.1,54115.0,45093.8,315070.0,-0.09609999999999999,1.2983365118110228,165.1770480800351,137148900.62567648,48487887.64094238,86597.0,68343337.0,28952.802225879786,18636587.5,1100.0,183.30218417,1925933019.174
2021-02-22,54111.8,57437.6,57480.8,48353.8,244950.0,-0.057800000000000004,1.3349589999999991,185.38411152803428,143628376.24578717,52905473.90020501,94891.0,68241019.0,23512.604178820267,18635925.0,662.5,131.78857834999997,515842591.9302
2021-02-21,57433.8,55907.6,58335.1,55502.7,87260.0,0.027000000000000003,1.4457590921985817,209.43336878458615,152267677.07260144,57635434.78941177,84273.0,68141000.0,15551.657015810166,18635050.0,875.0,115.10198626000007,737451802.1999999
2021-02-20,55923.7,55922.0,57523.8,54124.1,127850.0,0.0003,1.3216123972602742,186.2586993918356,157667240.0893604,59691256.6875985,100041.0,68068190.0,39000.08874734014,18634168.75,881.25,147.82061349000003,1203321961.67
2021-02-19,55906.6,51590.1,56238.5,50816.8,139430.0,0.08380000000000001,1.3286418235294108,173.43839161305863,163181402.20420986,59244126.43753824,113958.0,67932753.0,26369.592590000244,18633293.75,875.0,160.80575279999996,665321948.17
2021-02-18,51582.2,52094.5,52524.0,50941.6,94350.0,-0.0095,1.3050502846715326,163.73159016363306,145974815.55440575,53678746.90878645,110332.0,67829927.0,28525.30843980977,18632200.0,1093.75,147.75229392,1071500775.2992
2021-02-17,52079.2,49161.3,52577.7,49018.1,140030.0,0.0592,1.2910194710144924,161.444815130281,147040325.15699264,51285528.64317585,115567.0,67721500.0,23936.509208879903,18631531.25,668.75,141.6232720699999,899200170.7260002
2021-02-16,49169.7,47934.2,50515.8,47044.4,141370.0,0.025699999999999997,1.2968272396694225,144.51633317905373,128926661.9130153,42832906.95827337,99903.0,67653791.0,19763.293095060297,18630656.25,875.0,120.02466217,708415696.9380001
2021-02-15,47936.3,48611.1,48936.5,45786.1,123180.0,-0.014499999999999999,1.3219647549668876,165.50733434130282,160891949.9906224,51761591.27857075,99149.0,67568876.0,21633.89452513002,18629781.25,875.0,121.55584341000002,517594005.1949
2021-02-14,48643.4,47172.1,49695.1,47051.9,106500.0,0.0313,1.3239068993288579,168.7808417708047,158760930.78544855,50339561.18150959,92938.0,67436812.0,12969.560245099981,18628900.0,881.25,106.03576761000004,410208224.0802
2021-02-13,47168.7,47373.1,48097.3,46270.5,89420.0,-0.0043,1.3193575095541399,157.6243574555561,167285007.60614383,53952453.19167502,104856.0,67338918.0,15477.04973536981,18628025.0,875.0,144.37461607000003,689712445.3139999
2021-02-12,47371.7,47995.0,48927.4,46218.6,133730.0,-0.0129,1.2729824577464783,152.72071840167249,151302363.56734022,53308083.0824142,111391.0,67237407.0,33022.471248049704,18626925.0,1100.0,202.39953165999995,990292287.0492
2021-02-11,47990.7,44834.8,48622.1,44041.1,145770.0,0.0704,1.2711824186046514,152.232911640192,137450738.7337105,47377470.06192563,108363.0,67161038.0,43469.68254560009,18626031.25,893.75,185.34915975,854939011.6974
2021-02-10,44836.0,46507.8,47295.3,43800.5,151830.0,-0.036000000000000004,1.2902988391608394,142.629216150783,152367873.16992718,49429153.26156691,114442.0,67085259.0,40792.00057639028,18625368.75,662.5,168.16327938999996,1278680840.4312
